,expectedElevation,measuredElevation,elevationCalculatedAngle1,times_x,nasmyth2CalculatedAngle,times_y,position0,position1,position2,position3,position4,imageName,requestedExposureTime,additionalKeys,additionalValues,reportedPosition0,reportedPosition1,reportedPosition2,reportedPosition3,reportedPosition4,reportedPosition5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos,xcentroid,ycentroid
2021-07-08 01:05:13.450000+00:00,29.144920354328125,29.177221430909768,29.225507585622836,1625706276.3976738,0.989914173624129,1625706276.4486754,-1.018,0.494,-21.631,0.49,9.051,AT_O_20210707_000161,5.0,groupId:imageType,2021-07-08T01\:05\:00.701:OBJECT,-2.51107282112,2.43070608066,-1.4187096231,0.349998952937,0.220000163911,-5.38514279117e-07,-3.313556261518102,-95.85868346220327,0.27315491186962293,0.11423769934941601,0.09552635204218415,2447.3357493595877,1978.3723648999905
2021-07-08 01:18:42.545000+00:00,24.289657315118156,24.32463160026258,24.37218358955579,1625707085.485246,1.7322959847806487,1625707085.5442448,-1.017,0.498,-21.627,0.519,9.064,AT_O_20210707_000170,5.0,groupId:imageType,2021-07-08T01\:18\:29.783:OBJECT,-2.40277142287,2.33374301617,-1.42805060885,0.35000030083,0.219999921303,4.27131259845e-07,0.29936341540171846,-101.17400592741558,0.28849683500035,0.11522250710242833,0.09946558305423299,2058.7195575010564,2041.1913641152785
2021-07-08 01:25:20.780000+00:00,34.900856149007915,34.93529708631906,34.98593589506345,1625707483.6899896,0.7338436789868865,1625707483.770996,-1.015,0.501,-21.639,0.458,9.034,AT_O_20210707_000177,5.0,groupId:imageType,2021-07-08T01\:25\:08.035:OBJECT,-2.56700725958,2.20075743789,-1.40751071758,0.349999415975,0.220000433135,2.82515023902e-06,-6.686263846717375,-90.71143716443281,0.25414659369098447,0.11719212260845274,0.10242000631326961,2112.6395260437534,2235.514081784746
2021-07-08 01:32:57.337000+00:00,44.323565659428105,44.4090057184362,44.466112910129596,1625707940.293001,1.110122064492316,1625707940.3369954,-1.021,0.498,-21.664,0.273,8.9,AT_O_20210707_000185,5.0,groupId:imageType,2021-07-08T01\:32\:44.577:OBJECT,-3.22674832123,2.16336933825,-1.30693961153,0.349999610937,0.220000656321,-1.19845528094e-06,-16.145787063966914,-50.33453085194948,0.13941467615583641,0.1112832760903795,0.09946558305423299,1566.6635869456793,887.8225110377748
2021-07-08 01:40:36.656000+00:00,55.20566040396342,55.28443418866534,55.340657739245216,1625708399.5780542,1.548112044489244,1625708399.655048,-1.04,0.481,-21.687,0.094,8.693,AT_O_20210707_000193,5.0,groupId:imageType,2021-07-08T01\:40\:23.912:OBJECT,-3.95533967053,2.30393452353,-1.18492377229,0.349999590665,0.220000107154,6.11237506532e-07,-4.707940554893284,-1.3514635150540282,0.0030021840246199235,0.09257192878314742,0.08272385125302543,2017.3291696971037,1633.1282566569869
2021-07-08 01:46:31.338000+00:00,64.60728234422507,64.68289368051418,64.73349398215942,1625708754.2806282,1.563310334837297,1625708754.3316228,-1.07,0.453,-21.686,0.096,8.687,AT_O_20210707_000199,5.0,groupId:imageType,2021-07-08T01\:46\:18.584:OBJECT,-3.94560616408,2.35403885408,-1.20569464453,0.34999953544,0.220002147846,-1.85590913357e-06,-2.606986465553052,-0.6535500104894153,0.0020010561656288585,0.06302769619278115,0.05514923416868364,2016.2435319458727,1798.2214140246665
2021-07-08 01:50:50.326000+00:00,76.34838129705793,76.41999144604027,76.4666456564155,1625709013.282771,1.5871855713485274,1625709013.3257737,-1.14,0.423,-21.684,0.099,8.69,AT_O_20210707_000203,5.0,groupId:imageType,2021-07-08T01\:50\:37.586:OBJECT,-3.82455472103,2.19314451033,-1.23141564768,0.349998188213,0.220001669023,-5.26184494833e-07,-2.6325946613243167,-0.9453391707986734,0.004668194376441985,-0.005908846518073253,0.025605001578317375,2076.4715651343463,2240.2393151936717
2021-07-08 01:55:23.395000+00:00,82.38573041468025,82.46147891184224,82.53594598014024,1625709286.3839757,3.398219133159728,1625709286.389975,-1.228,0.403,-21.682,0.1,8.693,AT_O_20210707_000207,5.0,groupId:imageType,2021-07-08T01\:55\:10.635:OBJECT,-3.6481177146,2.24452356586,-1.24299250892,0.350000323948,0.219999170171,-1.64638872661e-07,-3.1386270368982103,-0.9009756767091941,0.006668122683080594,-0.09257192878314764,0.005908846518073253,2066.0253108418756,2267.0312769906086
2021-07-08 02:22:36.727000+00:00,74.13479312904296,74.16517414135218,74.06708380419877,1625710919.698173,-2.0968560032488313,1625710919.726173,-1.184,0.408,-21.683,0.1,8.69,AT_O_20210707_000211,5.0,groupId:imageType,2021-07-08T02\:22\:23.987:OBJECT,-3.69332530488,2.34056335543,-1.2381494042,0.349999781684,0.21999850702,3.66654902046e-08,-2.3667743756390838,-0.8216263376887492,0.005334661117716786,-0.049240387650610444,0.010832885283134244,2208.824836572369,2220.128686768828
2021-07-08 04:43:24.004000+00:00,70.73027890159103,70.82460715409312,70.93161991079978,1625719366.9699235,-25.652246912562987,1625719366.99692,-1.18,0.418,-21.683,0.1,8.691,AT_O_20210707_000314,5.0,groupId:imageType,2021-07-08T04\:43\:11.237:OBJECT,-3.64119533843,2.20636580977,-1.20415016691,0.349999331934,0.219999338946,-7.16492149931e-07,-2.6325946613246094,-0.9453391707984684,0.0056681943764428,-0.04530115663856161,0.02068096281325633,1240.1500905738426,3357.2336516912483
