,message,level,elevationCalculatedAngle1,times,position0,position1,position2,position3,position4,position5,pressure,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2021-08-09 16:10:54.003000+00:00,"az,el,pos0,pos1,pos2 = 0, 62, -0.082, 0.075, 0.087, 11.879, 5.003",20,61.99996492108039,1628525453.9322882,-0.082,0.075,0.087,11.879,,5.003,105193.06379394532,-0.40359959257151673,1.2115201353292233,0.0033313754633837772,0.06893654271085456,0.024620193825305194
2021-08-09 16:11:14.688000+00:00,"az,el,pos0,pos1,pos2 = 0, 55, -0.049, 0.093, 0.088, 11.886, 4.946",20,55.00001361807517,1628525474.1323552,-0.049,0.093,0.088,11.886,,4.946,97828.66560058594,16.45524948422045,7.378406489473875,-0.013011923830174547,0.10143519856025741,0.042346733379524944
2021-08-09 16:11:35.274000+00:00,"az,el,pos0,pos1,pos2 = 0, 48, -0.019, 0.109, 0.105, 12.041, 4.8",20,48.00001805862121,1628525495.2224333,-0.019,0.109,0.105,12.041,,4.8,89069.23997802734,92.93321821673428,4.349065135398014,-0.004340361614324657,0.1309794311506237,0.05810365742772027
2021-08-09 16:11:55.766000+00:00,"az,el,pos0,pos1,pos2 = 0, 41, 0.006, 0.119, 0.129, 12.24, 4.663",20,41.000002382614184,1628525515.7224884,0.006,0.119,0.129,12.24,,4.663,78958.97331542968,177.76736223451977,-5.146525992147404,0.024341650346226592,0.15559962497592886,0.06795173495784235
2021-08-09 16:12:16.258000+00:00,"az,el,pos0,pos1,pos2 = 0, 34, 0.027, 0.129, 0.138, 12.307, 4.634",20,34.00001844606595,1628525536.2225595,0.027,0.129,0.138,12.307,,4.634,67584.13427734375,201.80081393561557,-10.193865304353732,0.04001647373574896,0.17628058778918523,0.07779981248796443
2021-08-09 16:12:36.752000+00:00,"az,el,pos0,pos1,pos2 = 0, 27, 0.045, 0.14, 0.15, 12.37, 4.616",20,26.999912021972705,1628525556.722621,0.045,0.14,0.15,12.37,,4.616,54814.2678100586,222.02621773021264,-15.054372979843572,0.05902432853046049,0.194007127343405,0.08863269777109874
2021-08-09 16:12:53.906000+00:00,"az,el,pos0,pos1,pos2 = 0, 25, 0.046, 0.14, 0.173, 12.382, 4.607",20,24.999897389032412,1628525573.8226771,0.046,0.14,0.173,12.382,,4.607,50566.062109375,227.89012690862307,-9.246722741584932,0.0676816097782751,0.19499193509641718,0.08863269777109874
2021-08-09 16:13:14.496000+00:00,"az,el,pos0,pos1,pos2 = 0, 32, 0.045, 0.141, 0.138, 12.33, 4.638",20,32.00005611620145,1628525594.42275,0.045,0.141,0.138,12.33,,4.638,63857.74879150391,206.26240649586984,-14.554472146579545,0.04902352066867171,0.194007127343405,0.08961750552411091
2021-08-09 16:13:34.988000+00:00,"az,el,pos0,pos1,pos2 = 0, 39, 0.038, 0.137, 0.13, 12.286, 4.659",20,39.000011889540474,1628525614.922812,0.038,0.137,0.13,12.286,,4.659,76017.422265625,189.9059980649796,-12.091396537873793,0.038686206896551494,0.1871134730723195,0.0856782745120621
2021-08-09 16:13:55.672000+00:00,"az,el,pos0,pos1,pos2 = 0, 46, 0.027, 0.134, 0.108, 12.099, 4.797",20,46.00000834307866,1628525635.3228803,0.027,0.134,0.108,12.099,,4.797,86234.99873046875,107.73980136825455,-4.15285586080836,0.015006711198153383,0.17628058778918523,0.08272385125302548
2021-08-09 16:14:16.262000+00:00,"az,el,pos0,pos1,pos2 = 0, 53, 0.009, 0.123, 0.084, 11.882, 4.969",20,53.00001954873733,1628525656.232943,0.009,0.123,0.084,11.882,,4.969,95714.03126220703,9.278101798316639,4.038159998085228,-0.008006525844582826,0.1585540482349655,0.07189096596989118
2021-08-09 16:14:36.751000+00:00,"az,el,pos0,pos1,pos2 = 0, 60, -0.019, 0.105, 0.083, 11.873, 5.003",20,59.999956099592964,1628525676.7330117,-0.019,0.105,0.083,11.873,,5.003,102971.11965332032,-1.9473049153092243,1.0528214572897088,-1.7014058895691943e-06,0.1309794311506237,0.054164426415671436
2021-08-09 16:14:57.244000+00:00,"az,el,pos0,pos1,pos2 = 0, 67, -0.053, 0.082, 0.083, 11.874, 5.003",20,67.00003436049155,1628525697.2330785,-0.053,0.082,0.083,11.874,,5.003,108940.49041748047,-1.7070928253788678,0.8847451300917094,0.000331903546198689,0.09749596754820859,0.031513848096390656
2021-08-09 16:15:16.114000+00:00,"az,el,pos0,pos1,pos2 = 0, 74, -0.098, 0.062, 0.083, 11.876, 5.001",20,74.00005182463792,1628525716.033146,-0.098,0.062,0.083,11.876,,5.001,113342.29642333985,-0.6950280740691022,0.7960181419140047,0.0003320469329228806,0.053179618662659224,0.011817693036146493
2021-08-09 16:15:36.891000+00:00,"az,el,pos0,pos1,pos2 = 0, 81, -0.165, 0.047, 0.083, 11.878, 4.997",20,80.99995753008989,1628525735.533205,-0.165,0.047,0.083,11.878,,4.997,116546.86169433594,0.8486772487187494,0.9547168199554265,-0.00033487619780377207,-0.012802500789158715,-0.0029544232590366266
2021-08-09 16:15:36.900000+00:00,Finished dip sequence for elevations of [83 76 69 62 55 48 41 34 27 25 32 39 46 53 60 67 74 81],20,80.99995753008989,1628525735.533205,-0.165,0.047,0.083,11.878,,4.997,116546.86169433594,0.8486772487187494,0.9547168199554265,-0.00033487619780377207,-0.012802500789158715,-0.0029544232590366266
2021-08-09 16:15:36.904000+00:00,"End of Test1, Nominal LUT",20,80.99995753008989,1628525735.533205,-0.165,0.047,0.083,11.878,,4.997,116546.86169433594,0.8486772487187494,0.9547168199554265,-0.00033487619780377207,-0.012802500789158715,-0.0029544232590366266
