,intra,extra,inFocus5s,inFocusExpTime5s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,filter,rot_pos,el,az,x,y,z,u,v,w,m1,position0,position1,position2,position3,position5,m1_tip,m1_tilt,m1_piston,m1_y_pos,m1_x_pos
2022-02-18 05:11:42.009000+00:00,AT_O_20220217_000403,AT_O_20220217_000404,AT_O_20220217_000405,5.0,1645161229.5048404,1645161106.299773,1645161176.5152194,SDSSg,-0.1214235732537677,39.48728423513759,126.11768206092964,-3.91586712058,2.07484154832,-1.11546302125,0.3499999274,0.22,0.0,67747.44356462752,0.093,0.06,-0.0027,0.007,0.943,-8.035058336846271,1.410109890164797,-0.0012022787997482322,0.10143519856025741,0.11226808384339171
2022-02-18 07:14:47.083000+00:00,AT_O_20220217_000584,AT_O_20220217_000585,AT_O_20220217_000586,5.0,1645168612.9580047,1645168491.3851166,1645168561.9998307,SDSSg,-0.7061541707625507,60.78862139172147,130.48131246062474,-3.92765832197,2.05961187541,-1.14348704111,0.350000819521,0.220000317415,5.99564884179e-07,101002.58786260049,0.043,0.026,-0.00285,-0.003,0.937,-8.846098749997177,3.78938178639959,-0.006589457141358326,0.052194810909647026,0.07878462024097664
2022-02-18 09:19:06.214000+00:00,AT_O_20220217_000757,AT_O_20220217_000758,AT_O_20220217_000759,5.0,1645176072.9291985,1645175950.5140169,1645176020.8822784,SDSSg,-3.773607884247174,74.74339642918822,177.65139385946256,-3.68391121728,1.93770963819,-1.17645918876,0.350000639003,0.219999751225,-5.03882467446e-07,116125.20914908398,-0.04,-0.021,-0.00315,-0.012,0.93,-9.154948017612163,6.080521813567022,-0.012026493057984193,-0.02954423259036624,0.03249865584940287
2022-03-17 00:19:32.984000+00:00,AT_O_20220316_000227,AT_O_20220316_000228,AT_O_20220316_000229,5.0,1647476498.309,1647476377.3387282,1647476447.491,empty_1,-0.4264858026702275,60.41482003567052,180.67690080239208,-3.73750285027,1.82684239691,-1.1537567791,0.350000582419,0.2200003679515,4.63601963795e-07,100610.09359252932,0.046,0.028,-0.0029,-0.014,0.841,14.029035253250145,17.5000638647736,-0.042294947541442286,0.05514923416868365,0.08075423574700107
2022-03-17 00:55:43.049000+00:00,AT_O_20220316_000246,AT_O_20220316_000247,AT_O_20220316_000248,5.0,1647478669.113,1647478547.4200077,1647478617.23,SDSSg,-0.966823230637364,32.10556308832652,254.94233096538844,-3.70416195336,1.8923216442,-1.14426249297,0.3499987558765,0.220000610836,-5.40489785459e-07,53838.47002005439,0.093,0.075,-0.00255,-0.006,0.844,15.162233978513202,15.886440964512866,-0.03850900652234737,0.10143519856025741,0.12704020013857484
2022-03-17 03:06:03.260000+00:00,AT_O_20220316_000412,AT_O_20220316_000413,AT_O_20220316_000414,5.0,1647486488.002,1647486367.629936,1647486437.404,SDSSg,-1.7002442254418773,28.273187563380635,180.7439590970969,-3.75568699522,1.80393737735,-1.14633674174,0.350000134741,0.22,-3.93565707219e-07,45146.88703717913,0.087,0.095,-0.0024,-0.002,0.854,13.468720718599348,14.020775708453739,-0.033789324858361926,0.09552635204218417,0.146736355198819
2022-03-17 05:26:18.421000+00:00,AT_O_20220316_000622,AT_O_20220316_000623,AT_O_20220316_000624,5.0,1647494903.454,1647494782.7688618,1647494853.272,SDSSg,-0.6489033448884123,58.25663929599301,131.42499049464905,-3.72026422666,1.87778845166,-1.18371915045,0.35,0.220000814877,-7.21420236786e-07,97610.19339341715,0.039,0.072,-0.00265,-0.01,0.849,12.869723381127514,15.911003191582438,-0.038209046215989396,0.0482555798975982,0.12408577687953821
2022-03-17 05:37:17.056000+00:00,AT_O_20220316_000635,AT_O_20220316_000636,AT_O_20220316_000637,5.0,1647495565.001,1647495441.4220655,1647495511.97,SDSSg,-0.5190190985197494,60.02125724025983,132.70240054684888,-3.74308235617,1.92826423555,-1.18690327319,0.349999649043,0.219999446826,1.31031495311e-06,100067.92359165737,0.03,0.067,-0.0027,-0.011,0.848,12.894051167019194,16.188202892201776,-0.038892827516262184,0.03939231012048832,0.11916173811447717
2022-03-17 05:48:14.874000+00:00,AT_O_20220316_000648,AT_O_20220316_000649,AT_O_20220316_000650,5.0,1647496221.702,1647496099.2363622,1647496170.007,SDSSg,-0.5637742429590475,64.11964592514526,130.0484520920602,-3.75681139194,1.93619683308,-1.19493400244,0.349999991455,0.22000054203,-7.17382050447e-07,105112.05541381838,0.007,0.055,-0.00275,-0.013,0.848,12.412346579145483,16.509766086568856,-0.039576680509897204,0.016741731801207537,0.10734404507833067
2022-03-17 06:14:29.745000+00:00,AT_O_20220316_000673,AT_O_20220316_000674,AT_O_20220316_000675,5.0,1647497799.027,1647497674.0996418,1647497744.939,SDSSg,-0.8476097305906088,68.30284018655512,135.49245978242232,-3.70465344408,1.90115363664,-1.20383397972,0.350000593954,0.22,9.10422153335e-07,109773.62929391045,-0.017,0.04,-0.0028,-0.015,0.846,12.462282560725832,17.078754945407507,-0.04092760002098345,-0.006893654271085457,0.09257192878314756
