,intra,extra,inFocus5s,inFocusExpTime5s,inFocustimestampEndOfReadout,intraExtratimestampAcquisitionStart,intraExtratimestampEndOfReadout,filter,rot_pos,el,az,x,y,z,u,v,w,m1
2022-02-17 07:09:50.904000+00:00,AT_O_20220216_000610,AT_O_20220216_000611,AT_O_20220216_000612,5.0,1645081921.6604583,1645081795.201086,1645081868.4456177,SDSSg,2.3677641852321867,76.6937568118634,31.421142411486233,-3.65408191473,2.10874433566,-1.19105622131,0.350000579106,0.219999102884,1.58837070033e-07,117445.7794495465
2022-02-17 07:45:24.640000+00:00,AT_O_20220216_000662,AT_O_20220216_000663,AT_O_20220216_000664,5.0,1645084053.2657032,1645083928.9305363,1645084002.0941222,SDSSg,2.407644983518379,77.55298017315631,-18.66166251530147,-3.77493347418,2.17863818916,-1.21392926389,0.350000085262,0.220000495267,2.79757497882e-07,117791.31528337036
2022-02-17 08:48:12.506000+00:00,AT_O_20220216_000729,AT_O_20220216_000730,AT_O_20220216_000731,5.0,1645087819.72053,1645087696.8106127,1645087767.907547,SDSSg,3.722030088341546,71.22023445963785,25.65986638444781,-3.9463048842,2.12847422332,-1.18699096226,0.350000142407,0.220001423936,2.16523576791e-07,112717.10791514222
2022-02-18 00:19:11.955000+00:00,AT_O_20220217_000085,AT_O_20220217_000086,AT_O_20220217_000087,5.0,1645143680.1107452,1645143556.24702,1645143626.928153,empty_1,-0.6816750562870317,60.35290340647617,180.9468105637112,-4.0678203205,2.10910274882,-1.12127316899,0.350000282073,0.22000108548,-2.22843906091e-07,100405.6122601576
2022-02-18 00:26:11.949000+00:00,AT_O_20220217_000090,AT_O_20220217_000091,AT_O_20220217_000092,5.0,1645144097.4714403,1645143976.2528863,1645144046.573457,SDSSg,-1.188908896980189,59.42192723139101,180.00605582885245,-3.78420199642,2.09823079904,-1.15265762557,0.350000824541,0.21999962102,1.03474330069e-06,99320.21173427033
2022-02-18 02:26:10.530000+00:00,AT_O_20220217_000239,AT_O_20220217_000240,AT_O_20220217_000241,5.0,1645151300.212844,1645151174.8418674,1645151245.7169416,SDSSg,-0.5748286966706255,36.01098586692336,255.92916242080915,-3.84690826641,2.1192282164,-1.09522131199,0.35,0.22,2.40471073815e-07,60971.50587506976
2022-02-18 03:08:30.166000+00:00,AT_O_20220217_000278,AT_O_20220217_000279,AT_O_20220217_000280,5.0,1645153826.6656811,1645153724.4568841,1645153774.7873633,SDSSi,-1.733954920437171,79.81082494309351,-90.32799645469241,-3.48025894336,2.09578431372,-1.1809906597,0.350000255509,0.219999805217,-5.76074134345e-08,119440.06020971679
2022-02-18 04:28:34.995000+00:00,AT_O_20220217_000364,AT_O_20220217_000365,AT_O_20220217_000366,5.0,1645158641.6722884,1645158519.2869298,1645158590.002287,SDSSg,-1.1007387020654278,28.127893307366783,251.69790113180883,-3.70130310556,2.09577958656,-1.08488099458,0.34999920375,0.219999804398,-4.09233020564e-08,44787.12845906001
2022-02-18 05:11:42.009000+00:00,AT_O_20220217_000403,AT_O_20220217_000404,AT_O_20220217_000405,5.0,1645161229.5048404,1645161106.299773,1645161176.5152194,SDSSg,-0.12142357325376776,39.48728423513759,126.11768206092965,-3.91586712058,2.07484154832,-1.11546302125,0.3499999274,0.22,0.0,67747.44356462752
2022-02-18 07:14:47.083000+00:00,AT_O_20220217_000584,AT_O_20220217_000585,AT_O_20220217_000586,5.0,1645168612.9580047,1645168491.3851166,1645168561.9998307,SDSSg,-0.7061541707625507,60.78862139172147,130.48131246062474,-3.92765832197,2.05961187541,-1.14348704111,0.350000819521,0.220000317415,5.99564884179e-07,101002.58786260049
2022-02-18 09:19:06.214000+00:00,AT_O_20220217_000757,AT_O_20220217_000758,AT_O_20220217_000759,5.0,1645176072.9291983,1645175950.5140169,1645176020.8822784,SDSSg,-3.773607884247174,74.74339642918822,177.65139385946256,-3.68391121728,1.93770963819,-1.17645918876,0.350000639003,0.219999751225,-5.03882467446e-07,116125.20914908398
